"Preference Share","1° Item","2° Item","3° Item"
0.346506554117961,"KV1","KV3","KV9"
0.334483555747701,"KV1","KV9","KV10"
0.331556693393732,"KV3","KV9","KV10"
0.327043746873041,"KV1","KV9","KV13"
0.326669929530282,"KV1","KV9","KV14"
0.326631614726549,"KV1","KV2","KV9"
0.325885842185377,"KV1","KV9","KV15"
0.323828321551723,"KV3","KV9","KV13"
0.323437313481925,"KV2","KV3","KV9"
0.323423575887329,"KV3","KV9","KV14"
0.322580822688206,"KV3","KV9","KV15"
0.317875244789056,"KV1","KV9","KV11"
0.314745027121787,"KV3","KV9","KV11"
0.310389424941396,"KV1","KV9","KV12"
0.310205586859509,"KV2","KV9","KV10"
0.309849797525057,"KV9","KV10","KV13"
0.308972397626189,"KV9","KV10","KV14"
0.308933581162273,"KV9","KV10","KV15"
0.308530866546059,"KV1","KV6","KV9"
0.308421034174056,"KV1","KV8","KV9"
0.306941510190947,"KV3","KV9","KV12"
0.305142984156961,"KV3","KV6","KV9"
0.305113802153193,"KV1","KV5","KV9"
0.305107285964954,"KV1","KV7","KV9"
0.304952997155173,"KV3","KV8","KV9"
0.301784849696048,"KV2","KV9","KV13"
0.301588467445344,"KV3","KV7","KV9"
0.301583043191906,"KV3","KV5","KV9"
0.301351698805852,"KV2","KV9","KV14"
0.300927784533366,"KV9","KV13","KV14"
0.300783945509254,"KV2","KV9","KV15"
0.300348161297074,"KV9","KV13","KV15"
0.30019039349648,"KV9","KV10","KV11"
0.299682716158178,"KV9","KV14","KV15"
0.298668149894817,"KV1","KV3","KV10"
0.2965044390642,"KV1","KV4","KV9"
0.293082842564363,"KV3","KV4","KV9"
0.29220062703703,"KV9","KV10","KV12"
0.291985761285754,"KV2","KV9","KV11"
0.291586528653593,"KV9","KV11","KV13"
0.290759869169537,"KV6","KV9","KV10"
0.290439746089302,"KV8","KV9","KV10"
0.290316585101586,"KV9","KV11","KV14"
0.290249080925322,"KV9","KV11","KV15"
0.290228973989787,"KV1","KV3","KV14"
0.290124007003189,"KV1","KV3","KV13"
0.289081970047831,"KV1","KV2","KV3"
0.28855606577593,"KV1","KV3","KV15"
0.287112165279901,"KV5","KV9","KV10"
0.286796974568548,"KV7","KV9","KV10"
0.283877724501069,"KV2","KV9","KV12"
0.28343613726193,"KV9","KV12","KV13"
0.282558104333508,"KV9","KV12","KV14"
0.282140226189106,"KV9","KV12","KV15"
0.281822545986853,"KV6","KV9","KV13"
0.281642963795619,"KV2","KV6","KV9"
0.2814878962073,"KV8","KV9","KV13"
0.281438409080052,"KV2","KV8","KV9"
0.281298742282303,"KV6","KV9","KV14"
0.280859474245961,"KV8","KV9","KV14"
0.280856179251881,"KV6","KV9","KV15"
0.280614323109614,"KV8","KV9","KV15"
0.28043108635837,"KV1","KV3","KV11"
0.278142660984284,"KV5","KV9","KV13"
0.278077155834342,"KV2","KV5","KV9"
0.277971726089126,"KV2","KV7","KV9"
0.277866184933996,"KV7","KV9","KV13"
0.277545705869947,"KV5","KV9","KV14"
0.277267947296192,"KV4","KV9","KV10"
0.277152689266683,"KV5","KV9","KV15"
0.27714142361655,"KV7","KV9","KV14"
0.277037242058892,"KV7","KV9","KV15"
0.27524177090842,"KV1","KV10","KV13"
0.275014394074411,"KV1","KV2","KV10"
0.274898108275479,"KV1","KV10","KV14"
0.273894834881991,"KV1","KV10","KV15"
0.272719811833135,"KV9","KV11","KV12"
0.272156368916342,"KV3","KV10","KV13"
0.271853638613579,"KV2","KV3","KV10"
0.271829117084947,"KV1","KV3","KV12"
0.271674152554277,"KV3","KV10","KV14"
0.271335770940401,"KV6","KV9","KV11"
0.270919478909539,"KV8","KV9","KV11"
0.270819149313797,"KV3","KV10","KV15"
0.26880331272634,"KV2","KV4","KV9"
0.268749629775505,"KV1","KV3","KV6"
0.268703073318551,"KV1","KV3","KV8"
0.268511393187147,"KV4","KV9","KV13"
0.26765594910732,"KV4","KV9","KV14"
0.267627912095036,"KV4","KV9","KV15"
0.26740782343217,"KV5","KV9","KV11"
0.267186863111735,"KV7","KV9","KV11"
0.265868407824042,"KV1","KV13","KV14"
0.26579055755972,"KV1","KV2","KV14"
0.265533527544983,"KV1","KV2","KV13"
0.265225188680381,"KV1","KV3","KV7"
0.264989822247568,"KV1","KV3","KV5"
0.264822334741437,"KV1","KV10","KV11"
0.264273679519657,"KV1","KV13","KV15"
0.264259920584888,"KV1","KV14","KV15"
0.26420364332524,"KV1","KV2","KV15"
0.262591788086489,"KV6","KV9","KV12"
0.262402888779803,"KV3","KV13","KV14"
0.26220584614486,"KV2","KV3","KV14"
0.262173057633929,"KV8","KV9","KV12"
0.262096491419667,"KV2","KV3","KV13"
0.261778940063047,"KV3","KV10","KV11"
0.26091626101354,"KV3","KV13","KV15"
0.260846244794731,"KV3","KV14","KV15"
0.260755512809176,"KV2","KV3","KV15"
0.259019127844332,"KV6","KV8","KV9"
0.258579060333858,"KV5","KV9","KV12"
0.258428915242601,"KV7","KV9","KV12"
0.257522594493404,"KV4","KV9","KV11"
0.256281672930916,"KV1","KV3","KV4"
0.256036780947656,"KV1","KV10","KV12"
0.255567658248235,"KV5","KV6","KV9"
0.255505758896483,"KV6","KV7","KV9"
0.255257232352223,"KV1","KV11","KV13"
0.255111153872003,"KV1","KV2","KV11"
0.255071494197553,"KV7","KV8","KV9"
0.255064737254918,"KV5","KV8","KV9"
0.254491606578107,"KV1","KV11","KV14"
0.253507296268426,"KV1","KV11","KV15"
0.253260006561694,"KV1","KV6","KV10"
0.253120523247515,"KV1","KV8","KV10"
0.252667898535368,"KV3","KV10","KV12"
0.25196676090039,"KV3","KV11","KV13"
0.251773005140602,"KV2","KV3","KV11"
0.251511613921017,"KV5","KV7","KV9"
0.251081166891047,"KV3","KV11","KV14"
0.250276804708208,"KV3","KV11","KV15"
0.249953960185184,"KV3","KV6","KV10"
0.24971341633247,"KV3","KV8","KV10"
0.249339112124066,"KV1","KV5","KV10"
0.249254490063471,"KV1","KV7","KV10"
0.24855126573865,"KV4","KV9","KV12"
0.246243621942589,"KV1","KV12","KV13"
0.246227877912783,"KV4","KV6","KV9"
0.246123859602542,"KV1","KV2","KV12"
0.245986437066043,"KV1","KV12","KV14"
0.245893715954067,"KV3","KV5","KV10"
0.245867055456164,"KV3","KV7","KV10"
0.245776901302006,"KV4","KV8","KV9"
0.245643015656168,"KV2","KV10","KV13"
0.245246133065184,"KV2","KV10","KV14"
0.244589694458478,"KV2","KV10","KV15"
0.244519868629651,"KV1","KV12","KV15"
0.244360204569356,"KV10","KV13","KV14"
0.243751261465095,"KV10","KV13","KV15"
0.243408948889147,"KV1","KV6","KV14"
0.243251727347665,"KV1","KV6","KV13"
0.243112515401313,"KV1","KV8","KV14"
0.243078662741667,"KV10","KV14","KV15"
0.243039811056271,"KV1","KV8","KV13"
0.242533596529511,"KV3","KV12","KV13"
0.242403273875855,"KV1","KV2","KV6"
0.242350010667535,"KV2","KV3","KV12"
0.24234764914354,"KV1","KV2","KV8"
0.242172456350155,"KV3","KV12","KV14"
0.24208308401136,"KV4","KV5","KV9"
0.241834236750536,"KV1","KV6","KV15"
0.241806256676678,"KV1","KV8","KV15"
0.24172138023232,"KV4","KV7","KV9"
0.240890523757158,"KV3","KV12","KV15"
0.239685115095614,"KV3","KV6","KV14"
0.239646793144283,"KV3","KV6","KV13"
0.239373846696563,"KV1","KV5","KV14"
0.239351586091794,"KV1","KV5","KV13"
0.23933920068538,"KV3","KV8","KV13"
0.239285011695235,"KV1","KV7","KV13"
0.239266619385825,"KV3","KV8","KV14"
0.239243435422362,"KV1","KV4","KV10"
0.239212694006212,"KV1","KV7","KV14"
0.238723349081946,"KV1","KV2","KV7"
0.238669248170974,"KV2","KV3","KV6"
0.238587880362694,"KV1","KV2","KV5"
0.238503556708149,"KV2","KV3","KV8"
0.238276566603326,"KV3","KV6","KV15"
0.238136681136696,"KV3","KV8","KV15"
0.238053955117081,"KV1","KV7","KV15"
0.237908404479896,"KV1","KV5","KV15"
0.235965028986426,"KV3","KV4","KV10"
0.235599422600199,"KV3","KV7","KV13"
0.235582088538016,"KV3","KV5","KV13"
0.235448072293028,"KV3","KV5","KV14"
0.235342757667909,"KV3","KV7","KV14"
0.234904602658695,"KV2","KV3","KV7"
0.234831430153125,"KV2","KV13","KV14"
0.23478544794596,"KV1","KV11","KV12"
0.234713398240216,"KV2","KV3","KV5"
0.234482453017383,"KV2","KV10","KV11"
0.234407345379566,"KV3","KV7","KV15"
0.234205558246473,"KV3","KV5","KV15"
0.233597777193787,"KV10","KV11","KV13"
0.233588593819439,"KV2","KV14","KV15"
0.233564598910948,"KV2","KV13","KV15"
0.232436930799103,"KV13","KV14","KV15"
0.232163129997166,"KV10","KV11","KV15"
0.232145941124952,"KV10","KV11","KV14"
0.231932471184872,"KV1","KV6","KV11"
0.231700452226988,"KV1","KV8","KV11"
0.231186847322358,"KV3","KV11","KV12"
0.229440916343953,"KV1","KV4","KV13"
0.229245603837834,"KV1","KV4","KV14"
0.229080599705338,"KV1","KV2","KV4"
0.228478709358178,"KV3","KV6","KV11"
0.228154377788438,"KV3","KV8","KV11"
0.228141753458779,"KV1","KV4","KV15"
0.2277962079387,"KV1","KV7","KV11"
0.227746155994563,"KV1","KV5","KV11"
0.225872087771816,"KV3","KV4","KV13"
0.225524278010336,"KV3","KV4","KV14"
0.225364328544624,"KV2","KV3","KV4"
0.224830961659501,"KV2","KV10","KV12"
0.224612597807613,"KV3","KV4","KV15"
0.224214051292623,"KV3","KV7","KV11"
0.224135133355647,"KV3","KV5","KV11"
0.223949789750808,"KV10","KV12","KV13"
0.223463920428101,"KV2","KV11","KV13"
0.222930918671911,"KV10","KV12","KV14"
0.2227270251315,"KV2","KV11","KV14"
0.222540715859092,"KV10","KV12","KV15"
0.222270835259042,"KV1","KV6","KV12"
0.222078411454903,"KV2","KV11","KV15"
0.22198086424008,"KV1","KV8","KV12"
0.221536779321904,"KV11","KV13","KV14"
0.221477697619643,"KV2","KV6","KV10"
0.221439252000536,"KV6","KV10","KV13"
0.221187159759536,"KV2","KV8","KV10"
0.220980721942616,"KV11","KV13","KV15"
0.22096735521278,"KV8","KV10","KV13"
0.220867806672414,"KV6","KV10","KV14"
0.220310402511834,"KV6","KV10","KV15"
0.220273881368484,"KV8","KV10","KV14"
0.220058816010949,"KV8","KV10","KV15"
0.219913918946209,"KV11","KV14","KV15"
0.218305094627868,"KV3","KV6","KV12"
0.218075710999184,"KV1","KV7","KV12"
0.217973426706277,"KV1","KV5","KV12"
0.21789955903319,"KV3","KV8","KV12"
0.217621232038245,"KV1","KV4","KV11"
0.217351525021538,"KV2","KV5","KV10"
0.217168500856652,"KV1","KV6","KV8"
0.217153181914385,"KV2","KV7","KV10"
0.217142856748965,"KV5","KV10","KV13"
0.216777581404653,"KV7","KV10","KV13"
0.216414002035406,"KV5","KV10","KV14"
0.216051149316942,"KV5","KV10","KV15"
0.215916058658958,"KV7","KV10","KV14"
0.215862214192442,"KV7","KV10","KV15"
0.21417315238679,"KV3","KV4","KV11"
0.213998114262352,"KV3","KV7","KV12"
0.213845146039949,"KV3","KV5","KV12"
0.213574542431417,"KV2","KV12","KV13"
0.213449731481211,"KV1","KV6","KV7"
0.213289717260206,"KV1","KV5","KV6"
0.213287033049507,"KV2","KV12","KV14"
0.213136284598269,"KV1","KV7","KV8"
0.21310110403169,"KV3","KV6","KV8"
0.212870916379633,"KV1","KV5","KV8"
0.212147436171066,"KV2","KV12","KV15"
0.212133561740393,"KV12","KV13","KV14"
0.211576419841344,"KV10","KV11","KV12"
0.211030346414674,"KV12","KV13","KV15"
0.210447682069506,"KV12","KV14","KV15"
0.210061089503505,"KV2","KV6","KV14"
0.209913513319494,"KV2","KV6","KV13"
0.209774994994723,"KV6","KV13","KV14"
0.209565142823094,"KV2","KV8","KV14"
0.209512106119223,"KV2","KV8","KV13"
0.209426413543292,"KV3","KV6","KV7"
0.20925458872712,"KV6","KV10","KV11"
0.209216227003677,"KV3","KV5","KV6"
0.20914847078336,"KV1","KV5","KV7"
0.209118542221081,"KV8","KV13","KV14"
0.209011551660466,"KV3","KV7","KV8"
0.20887476079155,"KV2","KV6","KV15"
0.208736632157963,"KV8","KV10","KV11"
0.208717681191471,"KV2","KV8","KV15"
0.208680790143682,"KV3","KV5","KV8"
0.208546900435623,"KV6","KV13","KV15"
0.20845656637268,"KV6","KV14","KV15"
0.208199013464007,"KV8","KV13","KV15"
0.208006113171214,"KV8","KV14","KV15"
0.207673784238294,"KV1","KV4","KV12"
0.206393330648164,"KV2","KV4","KV10"
0.205801951275958,"KV2","KV5","KV13"
0.205763182218937,"KV2","KV5","KV14"
0.205710327196332,"KV4","KV10","KV13"
0.205613771625274,"KV2","KV7","KV13"
0.205470461048366,"KV2","KV7","KV14"
0.205337710239524,"KV5","KV13","KV14"
0.205006001542531,"KV3","KV5","KV7"
0.204820651814503,"KV7","KV13","KV14"
0.204809269460514,"KV2","KV7","KV15"
0.204772840130023,"KV4","KV10","KV15"
0.20474476042979,"KV2","KV5","KV15"
0.204661145585501,"KV4","KV10","KV14"
0.204651287937251,"KV5","KV10","KV11"
0.204337106891002,"KV7","KV10","KV11"
0.204286858967678,"KV5","KV13","KV15"
0.204126678698815,"KV7","KV13","KV15"
0.203994143521976,"KV5","KV14","KV15"
0.203755035140459,"KV3","KV4","KV12"
0.203715496113393,"KV7","KV14","KV15"
0.203651372042381,"KV1","KV4","KV6"
0.203381613442264,"KV1","KV4","KV8"
0.201301554334309,"KV2","KV11","KV12"
0.200131089178167,"KV11","KV12","KV13"
0.199779863445079,"KV3","KV4","KV6"
0.199371454237689,"KV3","KV4","KV8"
0.199218722967612,"KV1","KV4","KV5"
0.199099630814597,"KV1","KV4","KV7"
0.198809569456556,"KV6","KV10","KV12"
0.198614508864688,"KV11","KV12","KV14"
0.198264917621464,"KV11","KV12","KV15"
0.198223122872441,"KV8","KV10","KV12"
0.197783305395324,"KV2","KV6","KV11"
0.197482058547339,"KV6","KV11","KV13"
0.197378434021874,"KV2","KV8","KV11"
0.196873057624726,"KV8","KV11","KV13"
0.196537007809489,"KV6","KV11","KV14"
0.196019994080968,"KV6","KV11","KV15"
0.195778516111243,"KV8","KV11","KV14"
0.19567224963813,"KV8","KV11","KV15"
0.195168873122187,"KV3","KV4","KV5"
0.195119493720551,"KV3","KV4","KV7"
0.195044847882044,"KV2","KV4","KV13"
0.194798757245855,"KV2","KV4","KV14"
0.194182130904344,"KV2","KV4","KV15"
0.194052592355449,"KV5","KV10","KV12"
0.193841974794055,"KV7","KV10","KV12"
0.19381753002362,"KV4","KV13","KV14"
0.193653061420025,"KV6","KV8","KV10"
0.193361807508231,"KV2","KV5","KV11"
0.193247331122321,"KV2","KV7","KV11"
0.193189654233108,"KV4","KV13","KV15"
0.192905947390901,"KV5","KV11","KV13"
0.192878875870231,"KV4","KV10","KV11"
0.192628431284573,"KV4","KV14","KV15"
0.192586913789781,"KV7","KV11","KV13"
0.191693502546093,"KV5","KV11","KV14"
0.191415006224246,"KV5","KV11","KV15"
0.191362117026223,"KV7","KV11","KV15"
0.191289259494283,"KV7","KV11","KV14"
0.189659506488111,"KV5","KV6","KV10"
0.189498359343196,"KV6","KV7","KV10"
0.188971368786281,"KV5","KV8","KV10"
0.188921879812726,"KV7","KV8","KV10"
0.187043865925544,"KV2","KV6","KV12"
0.186785754010507,"KV6","KV12","KV13"
0.186583939019371,"KV2","KV8","KV12"
0.186328076650421,"KV6","KV12","KV14"
0.186113289483351,"KV8","KV12","KV13"
0.185509786696545,"KV8","KV12","KV14"
0.185288896611093,"KV6","KV12","KV15"
0.184855245472413,"KV8","KV12","KV15"
0.184815339524949,"KV5","KV7","KV10"
0.182500493953093,"KV2","KV5","KV12"
0.182493556166633,"KV2","KV7","KV12"
0.182347890481084,"KV2","KV4","KV11"
0.182125821223193,"KV4","KV10","KV12"
0.182048846876877,"KV5","KV12","KV13"
0.181825897386937,"KV7","KV12","KV13"
0.181381726163688,"KV4","KV11","KV13"
0.181376913373396,"KV5","KV12","KV14"
0.181139844329078,"KV6","KV8","KV13"
0.181050512017772,"KV6","KV8","KV14"
0.181040083016534,"KV7","KV12","KV14"
0.180720110130649,"KV2","KV6","KV8"
0.18058192376017,"KV7","KV12","KV15"
0.180559384508752,"KV5","KV12","KV15"
0.180321822525229,"KV6","KV8","KV15"
0.180021693788216,"KV4","KV11","KV15"
0.179779524062113,"KV4","KV11","KV14"
0.178492886670773,"KV4","KV6","KV10"
0.177896061961888,"KV4","KV8","KV10"
0.177286773124492,"KV5","KV6","KV13"
0.177124820287354,"KV6","KV7","KV13"
0.177120876590978,"KV5","KV6","KV14"
0.176864854367475,"KV6","KV7","KV14"
0.176856681629212,"KV2","KV6","KV7"
0.17683284959008,"KV2","KV5","KV6"
0.176471754388524,"KV5","KV8","KV13"
0.176436293697276,"KV7","KV8","KV13"
0.176340667710913,"KV2","KV7","KV8"
0.176312272617766,"KV6","KV7","KV15"
0.176209254678753,"KV5","KV6","KV15"
0.176194878128558,"KV2","KV5","KV8"
0.176168419513148,"KV5","KV8","KV14"
0.176026969908402,"KV7","KV8","KV14"
0.175854098289772,"KV7","KV8","KV15"
0.175640305207565,"KV5","KV8","KV15"
0.173613099678575,"KV4","KV5","KV10"
0.173303370665981,"KV6","KV11","KV12"
0.173108817995522,"KV4","KV7","KV10"
0.172585943913481,"KV8","KV11","KV12"
0.172472248757039,"KV5","KV7","KV13"
0.172354377491786,"KV2","KV5","KV7"
0.171996148669921,"KV5","KV7","KV14"
0.171647055147254,"KV5","KV7","KV15"
0.171324858873568,"KV2","KV4","KV12"
0.170333191679277,"KV4","KV12","KV13"
0.169308592685757,"KV4","KV12","KV14"
0.168986790046846,"KV4","KV12","KV15"
0.168185520157858,"KV5","KV11","KV12"
0.168094975820471,"KV7","KV11","KV12"
0.167691130879375,"KV6","KV8","KV11"
0.166367601363882,"KV4","KV6","KV13"
0.166325808197561,"KV2","KV4","KV6"
0.165953664892963,"KV4","KV6","KV14"
0.165822269583799,"KV2","KV4","KV8"
0.16565248867219,"KV4","KV8","KV13"
0.165464937371795,"KV4","KV6","KV15"
0.165073952299867,"KV4","KV8","KV14"
0.165019688311,"KV4","KV8","KV15"
0.163566456893715,"KV5","KV6","KV11"
0.163476385800416,"KV6","KV7","KV11"
0.162710753078162,"KV7","KV8","KV11"
0.162681068189963,"KV5","KV8","KV11"
0.161661628539977,"KV2","KV4","KV5"
0.161507177177364,"KV4","KV5","KV13"
0.161373835347962,"KV2","KV4","KV7"
0.161000062729486,"KV4","KV7","KV13"
0.160843963946211,"KV4","KV5","KV14"
0.160623679497411,"KV4","KV5","KV15"
0.160372310935603,"KV4","KV7","KV15"
0.160183129995038,"KV4","KV7","KV14"
0.158472277703585,"KV5","KV7","KV11"
0.15612654222481,"KV4","KV11","KV12"
0.155986064062923,"KV6","KV8","KV12"
0.152337345007928,"KV4","KV6","KV11"
0.151776004445127,"KV6","KV7","KV12"
0.151718210173596,"KV5","KV6","KV12"
0.151539799212031,"KV4","KV8","KV11"
0.150954330087184,"KV7","KV8","KV12"
0.150766088056831,"KV5","KV8","KV12"
0.147081535424103,"KV4","KV5","KV11"
0.146652040185258,"KV4","KV7","KV11"
0.146579949374857,"KV5","KV7","KV12"
0.143589909143807,"KV6","KV7","KV8"
0.143381005189674,"KV5","KV6","KV8"
0.140351536377804,"KV4","KV6","KV12"
0.139486443903323,"KV4","KV8","KV12"
0.139447388620159,"KV5","KV6","KV7"
0.138435673462907,"KV5","KV7","KV8"
0.134918862841149,"KV4","KV5","KV12"
0.134627831116699,"KV4","KV7","KV12"
0.132716252097692,"KV4","KV6","KV8"
0.128417270050844,"KV4","KV5","KV6"
0.128163771193706,"KV4","KV6","KV7"
0.127370177365996,"KV4","KV5","KV8"
0.127234551512397,"KV4","KV7","KV8"
0.122788715629613,"KV4","KV5","KV7"
